Name,Algorithm,Reduced,Iterations,Time,Cost,Total_operators
2318_18,model greedy,False,1,6.795067071914673,7.852799999999945,4
24147,model greedy,True,1,4.013894081115723,49.04446199999998,9
A Comparison of,model greedy,False,1,6.674129247665405,10.659515199999987,8
A Critical Look,model greedy,True,2,11.639028310775757,18.036143999999993,11
A Domain Generalization,model greedy,False,0,0.040509700775146484,0.0,4
A Knowledge Driven,model greedy,False,1,6.005549907684326,5.325347199999982,12
A Multilayer Convolutional,model greedy,True,5,23.997068643569946,86.96470005999997,26
A Natural Language,model greedy,False,3,23.351044416427612,16.671823224999983,17
A Question-Answering Approach,model greedy,False,1,6.093750238418579,5.556257600000009,19
A Student-Teacher Architecture,model greedy,True,4,20.15442681312561,56.466693400000025,25
A Unified Implicit,model greedy,True,5,26.667388200759888,34.53705027500004,18
Abusive Language Detection,model greedy,False,2,14.477580308914185,64.26928578750011,32
Accelerating the Development,model greedy,False,2,11.445129871368408,15.847272799999956,20
Accurate and Interpretable,model greedy,False,2,11.670069217681885,17.45277279999999,20
Action Branching Architectures,model greedy,True,2,9.040719270706177,21.282401599999986,26
AUPCR Maximizing Matchings,model greedy,True,5,31.30184769630432,49.24045440000002,16
Balanced Linear Contextual,model greedy,True,3,16.433724880218506,41.36477279999997,12
Beyond,model greedy,False,2,13.158057451248169,15.660505349999937,21
Bidirectional Temporal Plan,model greedy,True,4,26.83430027961731,42.85448783999995,17
BOK,model greedy,False,3,21.23490262031555,27.179360799999927,18
Capturing Delayed Feedback,model greedy,True,5,31.74346661567688,51.34506962500001,25
Cisco at AAAI-CAD21,model greedy,True,2,9.893842935562134,21.81282080000001,14
Crowdsourcing real-time viral,model greedy,False,1,8.055365562438965,13.790515200000016,17
Deep Open Intent,model greedy,False,2,11.738096237182617,20.77498030000004,32
Deep Spiking Neural,model greedy,False,2,29.901949644088745,23.820030400000007,27
Delving into Sample,model greedy,False,2,14.0340735912323,38.59003039999993,12
Detection of social,model greedy,False,2,10.034496784210205,13.237216799999942,25
Deterministic and Discriminative,model greedy,True,3,24.59862184524536,17.80498654850001,7
Discriminative Sentence Modeling,model greedy,False,2,11.167486429214478,19.549272799999983,19
Evaluating Digital Agriculture,model greedy,False,2,12.249152183532715,18.030272800000034,17
Evaluating Sequence-to-Sequence Learning,model greedy,False,4,20.051504135131836,37.452272799999946,28
Evaluation of a,model greedy,False,2,11.310488939285278,17.108492825000013,20
Evaluation of Fake,model greedy,True,3,18.130797147750854,11.22247879999999,12
Evolutionarily-Curated Curriculum Learning,model greedy,True,2,6.1101319789886475,43.67249009999999,2
Expected Value of,model greedy,True,3,18.203670263290405,22.333830799999973,9
Explainable Failure Predictions,model greedy,False,1,6.849457502365112,2.5353303999999923,8
Explaining Reward Functions,model greedy,False,2,10.939760684967041,18.682151599999997,16
Exploiting Cross-Lingual Subword,model greedy,True,1,7.7264649868011475,0.0,1
Exploiting Language Models,model greedy,True,3,17.237694263458252,30.404537759999982,9
Exploiting Multiple Abstractions,model greedy,False,4,48.549681186676025,30.716655075000006,22
Exploring Gameplay With,model greedy,True,5,22.298166513442993,57.42944919999994,17
Exploring the Efficacy,model greedy,True,4,24.38617753982544,66.88919464775998,5
Fair Conformal Predictors,model greedy,True,4,38.597119092941284,40.0,5
Fast and Knowledge-Free,model greedy,False,1,8.897734880447388,12.553515199999993,27
Few-Shot Learning for,model greedy,True,2,7.448564291000366,13.132669050000004,3
Finding All Bayesian,model greedy,True,3,17.939886808395386,69.06986480000009,22
Fine-Grained Car Detection,model greedy,True,4,20.2747585773468,37.735562800000054,17
Fine-grained Retrieval Prompt,model greedy,True,4,29.79345989227295,22.481623999999996,7
Fixation Maximization in,model greedy,True,3,20.69377565383911,25.161957600000022,9
Forecasting with Sparse,model greedy,True,4,35.948859453201294,54.044908800000044,15
Frame and Feature-Context,model greedy,True,8,81.61518788337708,52.30705662500005,20
Game-theoretic Approach for,model greedy,False,4,31.23170566558838,31.853325999999925,33
Generalized Planning in,model greedy,False,1,7.913313388824463,5.282757599999968,8
Generative structured normalizing,model greedy,True,5,24.743595838546753,34.00014294999994,17
Geometric,model greedy,True,3,48.13319635391235,17.574687360000013,17
Harnessing the Power,model greedy,True,5,35.734915256500244,60.90896589999993,22
Hierarchical Average Reward,model greedy,True,4,22.65159034729004,34.507772799999955,11
Human Capabilities as,model greedy,False,2,9.779335021972656,12.693628799999999,18
Human in the,model greedy,False,2,12.17229962348938,13.955143999999962,12
Humans_ Assessment of,model greedy,True,6,23.66014051437378,61.3127764000007,23
Hyperbolic Graph Diffusion,model greedy,False,2,14.288493394851685,20.9433152,30
