Name,Algorithm,Reduced,Iterations,Time,Cost,Total_operators
2318_18,classifciation and regreession model greedy,False,2,13.873892307281494,17.852799999999945,5
24147,classifciation and regreession model greedy,True,1,4.017030477523804,49.04446199999998,9
A Comparison of,classifciation and regreession model greedy,False,2,11.655683517456055,20.659515199999987,9
A Critical Look,classifciation and regreession model greedy,True,2,10.63029670715332,18.036143999999993,11
A Domain Generalization,classifciation and regreession model greedy,False,1,5.68967342376709,2.5353304000000065,5
A Knowledge Driven,classifciation and regreession model greedy,False,7,37.81504440307617,58.11302079999999,18
A Multilayer Convolutional,classifciation and regreession model greedy,True,5,20.9220232963562,86.96470005999997,26
A Natural Language,classifciation and regreession model greedy,True,7,45.68489146232605,52.80370202500001,21
A Question-Answering Approach,classifciation and regreession model greedy,True,9,40.12616443634033,59.578074775000005,27
A Student-Teacher Architecture,classifciation and regreession model greedy,True,4,17.612224340438843,56.466693400000025,25
A Unified Implicit,classifciation and regreession model greedy,True,5,22.497518301010132,34.53705027500004,18
Abusive Language Detection,classifciation and regreession model greedy,True,4,20.343539476394653,72.30672370250012,34
Accelerating the Development,classifciation and regreession model greedy,False,8,36.83790683746338,75.84727279999996,26
Accurate and Interpretable,classifciation and regreession model greedy,False,6,27.505478143692017,57.45277279999999,24
Action Branching Architectures,classifciation and regreession model greedy,True,2,8.075183629989624,21.282401599999986,26
AUPCR Maximizing Matchings,classifciation and regreession model greedy,True,5,28.36662721633911,49.24045440000002,16
Balanced Linear Contextual,classifciation and regreession model greedy,True,3,13.930862188339233,41.36477279999997,12
Beyond,classifciation and regreession model greedy,True,7,33.848411083221436,58.33425042499994,26
Bidirectional Temporal Plan,classifciation and regreession model greedy,True,4,22.966771364212036,42.85448783999995,17
BOK,classifciation and regreession model greedy,False,6,35.851903438568115,46.572855874999924,21
Capturing Delayed Feedback,classifciation and regreession model greedy,True,5,26.526066303253174,51.34506962500001,25
Cisco at AAAI-CAD21,classifciation and regreession model greedy,True,2,8.692668914794922,21.81282080000001,14
Crowdsourcing real-time viral,classifciation and regreession model greedy,True,4,25.103012800216675,35.084651599999965,20
Deep Open Intent,classifciation and regreession model greedy,True,5,21.990853548049927,30.688804175000044,35
Deep Spiking Neural,classifciation and regreession model greedy,True,5,49.48467564582825,53.82003040000001,30
