Name,Algorithm,Reduced,Iterations,Time,Cost,Total_operators
2318_18,heuristic greedy,False,1,3.3758811950683594,10.0,4
24147,heuristic greedy,True,3,8.916515111923218,31.255636400000043,9
A Comparison of,heuristic greedy,False,2,7.1328511238098145,20.659515199999987,8
A Critical Look,heuristic greedy,True,1,2.230086326599121,10.0,5
A Knowledge Driven,heuristic greedy,False,7,20.665403604507446,71.20938880000006,46
A Multilayer Convolutional,heuristic greedy,True,4,9.944227695465088,43.94713682500006,31
A Natural Language,heuristic greedy,True,4,15.976966381072998,42.23783679999997,46
A Question-Answering Approach,heuristic greedy,False,8,24.225392818450928,82.8059867,65
A Student-Teacher Architecture,heuristic greedy,False,1,5.915691137313843,10.0,6
A Unified Implicit,heuristic greedy,True,1,1.7931773662567139,10.0,13
Abusive Language Detection,heuristic greedy,True,9,29.916210889816284,96.65845162000005,33
Accelerating the Development,heuristic greedy,False,8,23.65357732772827,81.82040159999997,47
Accurate and Interpretable,heuristic greedy,False,6,18.942488193511963,65.03503039999998,39
Action Branching Architectures,heuristic greedy,True,4,12.106600999832153,47.2515267499999,51
AUPCR Maximizing Matchings,heuristic greedy,True,6,22.252193450927734,79.52759360000005,25
Balanced Linear Contextual,heuristic greedy,True,5,16.392824411392212,67.21503039999993,26
Beyond,heuristic greedy,True,4,11.574192762374878,40.0,39
Bidirectional Temporal Plan,heuristic greedy,True,1,2.7544848918914795,10.0,8
BOK,heuristic greedy,False,4,17.690776109695435,41.622973200000004,35
Capturing Delayed Feedback,heuristic greedy,True,4,14.93570852279663,42.68918270000002,33
Cisco at AAAI-CAD21,heuristic greedy,True,3,10.211480617523193,34.597079199999996,17
Crowdsourcing real-time viral,heuristic greedy,True,4,17.200233697891235,42.714151599999965,26
Deep Open Intent,heuristic greedy,True,3,8.993150234222412,30.0,35
Deep Spiking Neural,heuristic greedy,True,5,36.98361420631409,54.0510304,32
Delving into Sample,heuristic greedy,False,3,12.9541597366333,35.30427279999998,13
Detection of social,heuristic greedy,True,6,16.764796495437622,63.561177599999894,59
Deterministic and Discriminative,heuristic greedy,True,4,21.430550575256348,45.802030400000035,29
Discriminative Sentence Modeling,heuristic greedy,False,5,17.328293800354004,54.84652675000066,44
Evaluating Digital Agriculture,heuristic greedy,True,5,16.244344234466553,56.32903040000002,32
Evaluating Sequence-to-Sequence Learning,heuristic greedy,True,5,13.71397876739502,52.607515199999966,35
Evaluation of a,heuristic greedy,False,7,24.477487802505493,75.5967451249999,49
Evaluation of Fake,heuristic greedy,True,5,21.15958523750305,51.230886399999946,64
Evolutionarily-Curated Curriculum Learning,heuristic greedy,True,2,3.7799699306488037,43.67249009999999,2
Expected Value of,heuristic greedy,True,6,24.315564155578613,67.43772479999997,33
Explainable Failure Predictions,heuristic greedy,False,2,11.66924238204956,20.0,14
Explaining Reward Functions,heuristic greedy,False,4,12.917709827423096,41.92501070000003,22
Exploiting Cross-Lingual Subword,heuristic greedy,True,4,61.70115113258362,40.28252444999998,33
Exploiting Language Models,heuristic greedy,True,4,14.5075101852417,44.48121519999995,19
Exploiting Multiple Abstractions,heuristic greedy,True,5,31.145824193954468,54.75621269999999,41
Exploring Gameplay With,heuristic greedy,True,8,23.887325525283813,100.23096439999986,41
Exploring the Efficacy,heuristic greedy,True,4,14.94596242904663,72.17145224775999,13
Fair Conformal Predictors,heuristic greedy,True,4,23.68035054206848,47.83547999999999,4
Fast and Knowledge-Free,heuristic greedy,True,4,16.673704624176025,40.022321600000055,40
Few-Shot Learning for,heuristic greedy,True,4,11.217049598693848,50.6667070499999,18
Finding All Bayesian,heuristic greedy,True,5,19.956568956375122,64.80257400000002,27
Fine-Grained Car Detection,heuristic greedy,True,5,16.448879957199097,54.456030399999975,32
Fine-grained Retrieval Prompt,heuristic greedy,True,3,12.808693408966064,34.593030399999975,24
Fixation Maximization in,heuristic greedy,True,4,17.62786602973938,46.18451519999999,19
Forecasting with Sparse,heuristic greedy,True,4,21.96204423904419,46.143030399999944,19
Frame and Feature-Context,heuristic greedy,True,7,44.653045415878296,75.87177604999995,71
Game-theoretic Approach for,heuristic greedy,True,9,37.56628203392029,96.75082639999998,65
Generalized Planning in,heuristic greedy,False,5,23.646230936050415,50.565515199999936,20
Generative structured normalizing,heuristic greedy,True,4,12.178037881851196,41.91044019999997,42
Geometric,heuristic greedy,True,2,17.529425859451294,20.0,25
Harnessing the Power,heuristic greedy,True,7,31.496164798736572,85.52227804999993,35
Hierarchical Average Reward,heuristic greedy,True,6,22.140437602996826,64.99222188000002,27
Human Capabilities as,heuristic greedy,False,6,18.872116804122925,61.89849549999997,43
Human in the,heuristic greedy,False,6,22.30894899368286,62.54603039999995,39
Humans_ Assessment of,heuristic greedy,True,6,15.403487920761108,74.67815520000076,39
Hyperbolic Graph Diffusion,heuristic greedy,True,4,15.096477031707764,56.730618659,22
Identification of Abnormal,heuristic greedy,True,5,20.45080542564392,54.0671874999999,55
Identifying Unsafe Videos,heuristic greedy,True,1,1.348487377166748,11.359886399999965,5
Improving Model Robustness,heuristic greedy,False,6,26.522914171218872,63.46501070000011,42
Improving Multi-Document Summarization,heuristic greedy,True,3,8.614462614059448,32.393515200000024,21
Improving Neural Question,heuristic greedy,True,4,12.347748517990112,46.12492960000006,18
Improving Pareto Front,heuristic greedy,True,3,18.735016107559204,36.877736518882344,8
Improving Training and,heuristic greedy,True,3,14.717824459075928,30.11338639999994,45
Information Retention in,heuristic greedy,False,5,21.327253818511963,53.2770304,31
