Name,Algorithm,Reduced,Iterations,Time,Cost,Total_operators
2318_18,regreession model greedy,False,2,15.769001245498657,12.617599999999982,2
24147,regreession model greedy,True,3,17.578089952468872,23.639628799999997,3
A Comparison of,regreession model greedy,False,2,13.812805414199829,15.329757599999994,2
A Critical Look,regreession model greedy,True,3,20.462791442871094,17.322757600000017,3
A Domain Generalization,regreession model greedy,False,1,7.350365877151489,5.070660800000013,1
A Knowledge Driven,regreession model greedy,False,8,47.36060357093811,65.3878472,8
A Multilayer Convolutional,regreession model greedy,True,8,41.11287498474121,43.70081307500001,8
A Natural Language,regreession model greedy,True,5,38.53638768196106,23.821794949999997,5
A Question-Answering Approach,regreession model greedy,False,4,28.15416431427002,20.956738950000016,5
A Student-Teacher Architecture,regreession model greedy,False,5,34.645511627197266,39.66751520000001,6
A Unified Implicit,regreession model greedy,True,5,26.71350884437561,29.85336669999998,5
Abusive Language Detection,regreession model greedy,True,5,31.62068772315979,28.78299669800005,5
Accelerating the Development,regreession model greedy,False,8,56.35936117172241,61.53676519999998,8
Accurate and Interpretable,regreession model greedy,True,7,46.08426356315613,47.53677279999994,7
Action Branching Architectures,regreession model greedy,True,3,16.203125953674316,8.450330899999983,3
AUPCR Maximizing Matchings,regreession model greedy,True,6,36.99521589279175,51.03116640000002,6
Balanced Linear Contextual,regreession model greedy,True,6,33.85533046722412,57.240143999999944,6
Beyond,regreession model greedy,False,7,38.0068473815918,53.08510909999998,7
Bidirectional Temporal Plan,regreession model greedy,True,5,32.68796515464783,27.535574240000003,5
BOK,regreession model greedy,False,7,49.108232736587524,46.148537350000005,7
Capturing Delayed Feedback,regreession model greedy,True,4,21.73656463623047,33.49856375,4
Cisco at AAAI-CAD21,regreession model greedy,True,2,8.61929965019226,10.197709200000006,2
Crowdsourcing real-time viral,regreession model greedy,True,5,35.05353093147278,29.61802279999997,5
Deep Open Intent,regreession model greedy,True,5,22.998138904571533,24.558165200000033,5
Deep Spiking Neural,regreession model greedy,True,6,78.91686201095581,44.097894,6
Delving into Sample,regreession model greedy,False,5,36.70653986930847,36.983522799999946,5
Detection of social,regreession model greedy,True,8,38.15978002548218,37.12081399999991,8
Deterministic and Discriminative,regreession model greedy,True,3,26.407275676727295,21.077615348500018,3
Discriminative Sentence Modeling,regreession model greedy,False,8,45.738579988479614,51.124147950000605,9
Evaluating Digital Agriculture,regreession model greedy,False,5,31.368096590042114,35.98475760000001,5
Evaluating Sequence-to-Sequence Learning,regreession model greedy,True,5,22.79422616958618,31.222265199999995,5
Evaluation of a,regreession model greedy,False,10,49.17357110977173,66.99411139999995,10
Evaluation of Fake,regreession model greedy,True,7,41.7527961730957,30.202372799999992,7
Evolutionarily-Curated Curriculum Learning,regreession model greedy,True,2,6.303869247436523,43.86748799999998,2
Expected Value of,regreession model greedy,True,4,22.851612329483032,26.763088399999972,4
Explainable Failure Predictions,regreession model greedy,True,7,35.563236713409424,102.62995789375003,7
Explaining Reward Functions,regreession model greedy,False,3,13.636665105819702,17.911136400000004,3
Exploiting Cross-Lingual Subword,regreession model greedy,True,1,6.638721942901611,0.0,1
Exploiting Language Models,regreession model greedy,True,5,28.3025484085083,47.596658959999985,5
Exploiting Multiple Abstractions,regreession model greedy,False,8,79.80800414085388,45.238343749999984,8
Exploring Gameplay With,regreession model greedy,True,9,35.90587615966797,89.34707799999998,9
Exploring the Efficacy,regreession model greedy,True,4,20.313238859176636,64.24806584775997,4
Fair Conformal Predictors,regreession model greedy,True,4,38.6336305141449,40.0,4
Fast and Knowledge-Free,regreession model greedy,True,5,30.734875202178955,35.16659560000002,5
Few-Shot Learning for,regreession model greedy,True,3,11.036283731460571,22.005042924999998,3
Finding All Bayesian,regreession model greedy,True,7,41.96249771118164,53.334687599999995,7
Fine-Grained Car Detection,regreession model greedy,True,6,28.263927459716797,41.2168128,6
Fine-grained Retrieval Prompt,regreession model greedy,False,2,21.895639181137085,11.659515199999959,3
Fixation Maximization in,regreession model greedy,True,4,27.7795307636261,24.926236399999993,4
Forecasting with Sparse,regreession model greedy,True,4,35.13031816482544,31.83888640000002,4
Frame and Feature-Context,regreession model greedy,True,8,75.59092879295349,53.103672899999886,8
Game-theoretic Approach for,regreession model greedy,False,12,76.76212668418884,80.74243104999985,12
Generalized Planning in,regreession model greedy,False,3,34.781238079071045,22.641378799999984,4
Generative structured normalizing,regreession model greedy,True,5,20.847936868667603,28.927839150000068,5
Geometric,regreession model greedy,True,5,72.48047685623169,25.786574634999994,5
Harnessing the Power,regreession model greedy,True,8,51.18454885482788,81.58152537499998,8
Hierarchical Average Reward,regreession model greedy,True,5,24.913644075393677,43.29372188000002,5
Human Capabilities as,regreession model greedy,True,4,14.84325909614563,26.405376549999964,4
Human in the,regreession model greedy,False,7,36.204219579696655,58.67288639999998,7
Humans_ Assessment of,regreession model greedy,True,10,35.63285803794861,70.96449560000046,10
Hyperbolic Graph Diffusion,regreession model greedy,False,4,28.37852191925049,25.543336400000072,5
Identification of Abnormal,regreession model greedy,True,6,34.6773738861084,42.419329589999975,6
Identifying Unsafe Videos,regreession model greedy,True,2,9.202080488204956,9.118386400000006,2
Improving Model Robustness,regreession model greedy,False,6,38.79906487464905,43.961876549999985,6
Improving Multi-Document Summarization,regreession model greedy,True,4,15.676433324813843,26.108173999999963,4
Improving Neural Question,regreession model greedy,True,4,17.593926429748535,34.81393080000001,4
Improving Pareto Front,regreession model greedy,True,1,4.80849027633667,9.64562304889472,1
Improving Training and,regreession model greedy,True,7,56.80558443069458,16.39707814999997,7
Information Retention in,regreession model greedy,False,6,35.35548734664917,42.238765199999975,6
Integrated In-vehicle Monitoring,regreession model greedy,True,4,15.710741519927979,42.64799739999995,4
Intelligent Frame Selection,regreession model greedy,True,2,7.553255319595337,12.816015199999981,2
Interpretable Local Tree,regreession model greedy,True,4,18.905381679534912,28.619618950000017,4
Interpretable NLG for,regreession model greedy,True,6,25.14602279663086,48.98388639999999,6
Interpretable Rumor Detection,regreession model greedy,True,2,7.534453868865967,27.99532449999998,2
Investigating the Effects,regreession model greedy,True,6,28.560660362243652,43.80179120000007,6
Joint Word Representation,regreession model greedy,True,1,2.689988374710083,3.92410000000001,1
Journey to the,regreession model greedy,False,8,53.50558114051819,59.76316890000001,8
Keyword-Guided Neural Conversational,regreession model greedy,False,7,35.21469473838806,45.26287429999999,7
Knowledge-driven Natural Language,regreession model greedy,False,4,26.147856950759888,16.423625776000108,4
Knowledge-incorporating ESIM models,regreession model greedy,True,6,27.66237187385559,44.20314399999998,6
Labeled Memory Networks,regreession model greedy,True,6,29.753429174423218,23.847945475000017,6
Language Models are,regreession model greedy,True,9,56.25055932998657,83.3515152,9
Learning 2D Temporal,regreession model greedy,False,6,36.37242126464844,43.516643999999985,6
Learning a Wavelet-like,regreession model greedy,True,7,26.084288120269775,34.653845375000046,7
Learning Binary Residual,regreession model greedy,True,5,27.23318362236023,38.839886399999955,5
Learning Invariant Representation,regreession model greedy,False,3,25.66185760498047,24.38229182968749,4
Learning Logistic Circuits,regreession model greedy,False,7,60.18558430671692,56.46575760000002,7
Learning Markov Random,regreession model greedy,False,8,78.48217391967773,110.89625838256015,9
Learning Occupational Task-Shares,regreession model greedy,True,7,44.58555340766907,60.15255855000002,7
Learning Optical Flow,regreession model greedy,True,5,30.437754154205322,46.67891455350001,5
Learning Rewards from,regreession model greedy,True,7,31.79866361618042,60.403962425000046,7
Learning Scripts as,regreession model greedy,False,6,32.36536693572998,29.388324399999973,6
Learning Sparse Sharing,regreession model greedy,True,2,20.458685636520386,13.233886399999975,2
Learning the Joint,regreession model greedy,True,4,20.56964612007141,42.60498759999996,4
Learning Transferable Adversarial,regreession model greedy,False,6,35.10885310173035,46.26690854999998,6
Let There Be,regreession model greedy,True,8,42.1253707408905,39.02537529550003,11
Local Differential Privacy,regreession model greedy,False,5,31.681543588638306,37.97174240000001,6
Long-Term Trends in,regreession model greedy,True,6,26.997925519943237,30.545707600000014,6
LTU Attacker for,regreession model greedy,True,4,20.115179777145386,20.726864025000005,4
Open-Vocabulary Semantic Parsing,regreession model greedy,False,7,42.82635283470154,51.93076519999998,7
Open-Vocabulary Video Relation,regreession model greedy,True,3,14.6968412399292,23.639628799999997,3
Optimal Pricing for,regreession model greedy,True,4,31.093849420547485,7.68825975,4
Order-Free RNN with,regreession model greedy,True,3,10.896793603897095,46.000883999999985,3
Out of the,regreession model greedy,True,5,22.230144023895264,31.284804137167285,5
Painterly Image Harmonization,regreession model greedy,True,6,25.077554941177368,68.76345542500003,6
Parameterized Indexed Value,regreession model greedy,False,7,113.33242630958557,50.72109349708329,8
Patch-wise Graph Contrastive,regreession model greedy,True,4,21.007288217544556,50.23191759999999,4
Planning with Pixels,regreession model greedy,True,1,2.3300530910491943,13.519798947196975,1
Playing Pairs with,regreession model greedy,True,11,41.31802296638489,93.94816800000001,11
Pre-Training With Scientific,regreession model greedy,True,4,15.295255661010742,25.839119224999976,4
Predicting Depression Severity,regreession model greedy,True,9,32.31226301193237,60.70356580000052,9
Predicting the Argumenthood,regreession model greedy,True,6,26.53314995765686,41.31000534999997,6
Projective Quadratic Regression,regreession model greedy,False,3,13.09088683128357,30.0,3
Provably Convergent Federated,regreession model greedy,False,2,12.131248712539673,12.617599999999982,2
Provably Secure Federated,regreession model greedy,True,2,11.028709411621094,11.559183096470584,2
Qualitative Analysis of,regreession model greedy,True,6,27.194082975387573,53.3697586,6
Quantization-Based Regularization for,regreession model greedy,True,5,30.067755460739136,21.61587890081391,5
Relevant Intrinsic Feature,regreession model greedy,True,8,72.55916953086853,49.10285659499998,8
Representing Closed Transformation,regreession model greedy,True,4,19.213701725006104,27.295709279999947,4
Responsive Planning and,regreession model greedy,True,2,5.857304811477661,3.6843787999999904,2
Retrospective Reader for,regreession model greedy,True,3,13.475606203079224,20.685408549999977,3
Revisiting Mahalanobis Distance,regreession model greedy,True,1,5.696880102157593,6.202062087291736,1
Source-Target Inference Models,regreession model greedy,True,7,36.1042902469635,42.08899550000005,7
Synchronous Speech Recognition,regreession model greedy,False,5,28.872652769088745,26.63998789999998,5
Task-Driven Causal Feature,regreession model greedy,True,5,28.04458713531494,32.73802654999999,5
That_s Mine! Learning,regreession model greedy,True,10,46.861058473587036,80.16468655000003,10
The Complexity of,regreession model greedy,False,7,63.14682698249817,47.19658310000001,7
Title-Guided Encoding for,regreession model greedy,True,10,50.5727915763855,62.32461602000002,10
Token-Level Contrastive Learning,regreession model greedy,False,11,69.88641953468323,288.0658788499999,11
Top-N Recommender System,regreession model greedy,False,8,35.62054896354675,42.49396669999989,8
Topical Phrase Extraction,regreession model greedy,True,6,24.48712730407715,57.39113435099996,9
Topological Pooling on,regreession model greedy,True,4,55.529884338378906,25.576643999999973,4
Toward a Human-Level,regreession model greedy,True,6,23.122262239456177,49.331250424999965,6
