Name,Algorithm,Reduced,Iterations,Time,Cost,Total_operators
2318_18,simple greedy,False,2,7.080373525619507,12.617599999999982,2
24147,simple greedy,True,3,10.23561978340149,23.639628799999997,3
A Comparison of,simple greedy,False,2,8.188440799713135,12.664878799999997,2
A Critical Look,simple greedy,True,3,9.924180746078491,17.322757600000017,3
A Domain Generalization,simple greedy,False,1,3.627817392349243,2.5353304000000065,1
A Knowledge Driven,simple greedy,False,7,24.55824565887451,55.387847199999996,7
A Multilayer Convolutional,simple greedy,True,9,24.395650625228882,93.43633378499997,9
A Natural Language,simple greedy,True,8,32.934637784957886,49.29782322499997,8
A Question-Answering Approach,simple greedy,True,10,28.89526891708374,62.260703574999994,10
A Student-Teacher Architecture,simple greedy,False,4,17.548130989074707,29.66751520000001,0
A Unified Implicit,simple greedy,True,5,15.940677165985107,21.459747750000005,5
Abusive Language Detection,simple greedy,True,5,18.850969791412354,26.55800052300005,5
Accelerating the Development,simple greedy,False,9,32.02552890777588,71.53676519999998,9
Accurate and Interpretable,simple greedy,False,6,18.675509214401245,46.40050759999998,6
Action Branching Architectures,simple greedy,True,2,4.72373104095459,0.0,2
AUPCR Maximizing Matchings,simple greedy,True,7,24.347167253494263,52.91829520000002,7
Balanced Linear Contextual,simple greedy,True,7,21.74120783805847,59.42577279999993,7
Beyond,simple greedy,True,7,19.901851654052734,47.800118949999984,7
Bidirectional Temporal Plan,simple greedy,True,4,14.282830476760864,16.343507599999995,4
BOK,simple greedy,False,6,22.24718189239502,28.296583075000022,6
Capturing Delayed Feedback,simple greedy,True,5,16.44771385192871,24.99487655000003,5
Cisco at AAAI-CAD21,simple greedy,True,3,8.41231632232666,16.03893020000001,3
Crowdsourcing real-time viral,simple greedy,True,5,20.770562887191772,30.49452279999995,5
Deep Open Intent,simple greedy,True,5,13.12379765510559,23.543000425000002,5
Deep Spiking Neural,simple greedy,True,6,38.95051622390747,41.33176520000001,6
Delving into Sample,simple greedy,False,5,18.6168429851532,37.66152279999997,5
Detection of social,simple greedy,True,8,18.911011219024658,36.76031399999991,8
Deterministic and Discriminative,simple greedy,True,5,23.22815465927124,25.69387294850003,5
Discriminative Sentence Modeling,simple greedy,False,8,23.07470202445984,48.41851915000065,8
Evaluating Digital Agriculture,simple greedy,False,5,15.496074438095093,35.9850076,5
Evaluating Sequence-to-Sequence Learning,simple greedy,True,5,11.3661048412323,36.35200759999999,5
Evaluation of a,simple greedy,False,10,29.033841848373413,68.5571114,10
Evaluation of Fake,simple greedy,True,7,25.075771808624268,26.895872799999964,7
Evolutionarily-Curated Curriculum Learning,simple greedy,True,2,3.5680530071258545,43.67249009999999,2
Expected Value of,simple greedy,True,6,21.5129497051239,49.091701999999984,6
Explainable Failure Predictions,simple greedy,True,6,17.689879655838013,96.50251569375004,6
Explaining Reward Functions,simple greedy,False,3,8.12352728843689,15.263757599999991,3
Exploiting Cross-Lingual Subword,simple greedy,True,1,4.275832176208496,0.0,1
Exploiting Language Models,simple greedy,True,5,17.080191135406494,34.122486399999985,5
Exploiting Multiple Abstractions,simple greedy,False,7,41.84614562988281,37.238341074999965,7
Exploring Gameplay With,simple greedy,True,8,19.61613178253174,81.22644159999999,8
Exploring the Efficacy,simple greedy,True,4,12.14854383468628,64.24806584775997,4
Fair Conformal Predictors,simple greedy,True,4,22.394145250320435,47.83547999999999,4
Fast and Knowledge-Free,simple greedy,True,6,21.801362991333008,30.135353200000054,6
Few-Shot Learning for,simple greedy,True,3,6.644969701766968,18.448664124999993,3
Finding All Bayesian,simple greedy,True,7,23.91683554649353,53.334687599999995,7
Fine-Grained Car Detection,simple greedy,True,6,17.670977354049683,41.23227280000002,6
Fine-grained Retrieval Prompt,simple greedy,True,3,10.528097152709961,14.809737599999977,3
Fixation Maximization in,simple greedy,True,6,24.870903730392456,44.92623639999999,6
Forecasting with Sparse,simple greedy,True,5,26.01793336868286,34.139765200000014,5
Frame and Feature-Context,simple greedy,True,10,57.53718113899231,59.61081155000003,10
Game-theoretic Approach for,simple greedy,False,11,40.884137868881226,62.077583600000025,11
Generalized Planning in,simple greedy,False,5,21.54720425605774,42.641378799999984,5
Generative structured normalizing,simple greedy,True,9,23.917153120040894,50.40298167499995,9
Geometric,simple greedy,True,7,64.108722448349,30.463405149999986,7
Harnessing the Power,simple greedy,True,8,30.863144874572754,75.83740149999996,8
Hierarchical Average Reward,simple greedy,True,8,25.9289710521698,65.61685067999996,8
Human Capabilities as,simple greedy,True,5,11.218377828598022,28.943371624999976,5
Human in the,simple greedy,False,7,22.567695379257202,50.76926519999995,7
Humans_ Assessment of,simple greedy,True,10,21.89687752723694,72.30799560000051,10
Hyperbolic Graph Diffusion,simple greedy,False,4,16.695497035980225,19.38185759999999,0
Identification of Abnormal,simple greedy,True,7,23.459062814712524,30.959209875000056,7
Identifying Unsafe Videos,simple greedy,True,2,6.020472764968872,7.218007599999993,2
Improving Model Robustness,simple greedy,False,6,22.07227349281311,38.10925267500002,6
Improving Multi-Document Summarization,simple greedy,True,5,12.950100421905518,26.413423999999978,5
Improving Neural Question,simple greedy,True,4,10.711793422698975,31.229802000000007,4
Improving Pareto Front,simple greedy,True,2,9.306824445724487,16.249751848894704,2
Improving Training and,simple greedy,True,1,2.9576878547668457,0.0,1
Information Retention in,simple greedy,False,6,22.21944808959961,41.12826519999997,6
Integrated In-vehicle Monitoring,simple greedy,True,4,10.275463342666626,42.64799739999995,4
