Name,Algorithm,Reduced,Iterations,Time,Cost,Total_operators
2318_18,model greedy,FALSE,1,3.682322979,7.8528,4
24147,model greedy,TRUE,1,2.228159428,49.044462,9
A Comparison of,model greedy,FALSE,1,4.630188227,10.6595152,8
A Critical Look,model greedy,TRUE,2,6.699268103,18.036144,11
A Domain Generalization,model greedy,FALSE,0,0.033897877,0,4
A Knowledge Driven,model greedy,FALSE,1,3.481529236,5.3253472,12
A Multilayer Convolutional,model greedy,TRUE,5,14.1981914,87.82320006,26
A Natural Language,model greedy,FALSE,3,13.74872899,16.67182322,17
A Question-Answering Approach,model greedy,FALSE,1,3.480036259,5.5562576,19
A Student-Teacher Architecture,model greedy,TRUE,4,11.59254289,56.4666934,25
A Unified Implicit,model greedy,TRUE,5,15.47827744,34.53705028,18
Abusive Language Detection,model greedy,FALSE,2,7.992029905,64.26928579,32
Accelerating the Development,model greedy,FALSE,2,6.667947531,15.8472728,20
Accurate and Interpretable,model greedy,FALSE,2,6.677192688,17.4527728,20
Action Branching Architectures,model greedy,TRUE,2,5.216794014,21.2824016,26
AUPCR Maximizing Matchings,model greedy,TRUE,5,22.12341833,50.2199756,16
Balanced Linear Contextual,model greedy,TRUE,3,10.02628446,41.3647728,12
Beyond,model greedy,FALSE,2,6.772622585,15.66050535,21
Bidirectional Temporal Plan,model greedy,TRUE,4,15.37088108,42.85498784,17
BOK,model greedy,FALSE,3,11.86289096,27.1793608,18
Capturing Delayed Feedback,model greedy,TRUE,5,17.77351761,51.34506963,25
Cisco at AAAI-CAD21,model greedy,TRUE,2,6.055102587,21.8128208,14
Crowdsourcing real-time viral,model greedy,FALSE,1,4.84754777,13.7905152,17
Deep Open Intent,model greedy,TRUE,3,3.990689278,29.97614015,30
Deep Spiking Neural,model greedy,FALSE,2,8.186262846,23.8200304,27
Delving into Sample,model greedy,FALSE,2,15.92726016,38.5900304,12
Detection of social,model greedy,FALSE,2,7.922953129,13.2372168,25
Deterministic and Discriminative,model greedy,TRUE,3,5.944253445,17.80498655,7
Discriminative Sentence Modeling,model greedy,FALSE,2,13.56522846,19.5492728,19
Evaluating Digital Agriculture,model greedy,FALSE,2,6.389016628,18.5092728,17
Evaluating Sequence-to-Sequence Learning,model greedy,FALSE,4,6.96205163,37.4522728,28
Evaluation of a,model greedy,FALSE,2,11.21812797,17.10849283,20
Evaluation of Fake,model greedy,TRUE,3,6.503671169,11.2224788,12
Evolutionarily-Curated Curriculum Learning,model greedy,TRUE,2,10.88699222,43.6724901,2
Expected Value of,model greedy,TRUE,3,3.699987411,22.3338308,9
Explainable Failure Predictions,model greedy,FALSE,1,10.66856575,2.5353304,8
Explaining Reward Functions,model greedy,FALSE,2,3.772590637,18.6821516,16
Exploiting Cross-Lingual Subword,model greedy,TRUE,1,6.031482935,0,1
Exploiting Language Models,model greedy,TRUE,3,4.376934052,30.40453776,9
Exploiting Multiple Abstractions,model greedy,FALSE,4,10.22457433,30.71665508,22
Exploring Gameplay With,model greedy,TRUE,5,27.23038697,56.5604492,17
Exploring the Efficacy,model greedy,TRUE,4,12.86735511,66.88919465,5
Fair Conformal Predictors,model greedy,TRUE,4,13.58889556,40,5
Fast and Knowledge-Free,model greedy,FALSE,1,24.38435602,12.5535152,27
Few-Shot Learning for,model greedy,TRUE,2,5.138389349,13.13266905,3
Finding All Bayesian,model greedy,TRUE,3,4.619934559,69.0698648,22
Fine-Grained Car Detection,model greedy,TRUE,4,10.67468905,37.7355628,17
Fine-grained Retrieval Prompt,model greedy,TRUE,4,11.82783413,22.481624,7
Fixation Maximization in,model greedy,TRUE,3,16.44053483,25.1619576,9
Forecasting with Sparse,model greedy,TRUE,4,11.9355278,54.0449088,15
Frame and Feature-Context,model greedy,TRUE,8,21.86772203,52.30705663,20
Game-theoretic Approach for,model greedy,FALSE,4,49.15026736,31.853326,33
Generalized Planning in,model greedy,FALSE,1,15.6733861,5.2827576,8
Generative structured normalizing,model greedy,TRUE,5,4.734408379,34.00014295,17
Geometric,model greedy,TRUE,3,13.95715404,17.57468736,17
Harnessing the Power,model greedy,TRUE,5,28.42952943,60.9089659,22
Hierarchical Average Reward,model greedy,TRUE,4,20.63504171,34.5077728,11
Human Capabilities as,model greedy,FALSE,2,13.22109151,12.6936288,18
Human in the,model greedy,FALSE,2,5.805393219,13.955144,12
Humans_ Assessment of,model greedy,TRUE,6,7.027513027,61.3127764,23
Hyperbolic Graph Diffusion,model greedy,FALSE,2,13.9574604,20.9433152,30
Identification of Abnormal,model greedy,TRUE,5,8.161095381,36.41389519,22
Identifying Unsafe Videos,model greedy,TRUE,1,18.88604689,7.5732576,3
Improving Model Robustness,model greedy,FALSE,2,1.384402752,11.0365152,28
Improving Multi-Document Summarization,model greedy,TRUE,3,4.171254873,48.3225416,23
Improving Neural Question,model greedy,TRUE,3,7.747679949,32.420672,11
Improving Pareto Front,model greedy,TRUE,2,8.165590525,16.24975185,2
