Name,Algorithm,Reduced,Iterations,Time,Cost,Total_operators
2318_18,heuristic greedy,FALSE,1,3.506363392,10,4
24147,heuristic greedy,TRUE,3,8.914372444,31.2556364,9
A Comparison of,heuristic greedy,FALSE,2,7.594264507,20.6595152,8
A Critical Look,heuristic greedy,TRUE,1,2.53499198,10,5
A Knowledge Driven,heuristic greedy,FALSE,7,21.71079159,71.2093888,46
A Natural Language,heuristic greedy,TRUE,4,10.39014721,42.2378368,46
A Question-Answering Approach,heuristic greedy,FALSE,8,16.7006309,82.8059867,65
A Student-Teacher Architecture,heuristic greedy,FALSE,1,26.15266132,10,6
A Unified Implicit,heuristic greedy,TRUE,1,6.105494022,10,13
Abusive Language Detection,heuristic greedy,TRUE,9,1.625913382,96.65845162,33
Accelerating the Development,heuristic greedy,FALSE,8,34.0256958,81.8204016,47
Accurate and Interpretable,heuristic greedy,FALSE,6,25.43539762,65.0350304,39
Action Branching Architectures,heuristic greedy,TRUE,4,18.8421526,47.25152675,51
AUPCR Maximizing Matchings,heuristic greedy,FALSE,6,11.84879375,79.5275936,25
Balanced Linear Contextual,heuristic greedy,TRUE,5,11.6640873,67.2150304,26
Beyond,heuristic greedy,TRUE,4,19.47520137,40,39
Bidirectional Temporal Plan,heuristic greedy,TRUE,1,13.8876822,10,8
BOK,heuristic greedy,FALSE,4,2.490201473,41.6229732,35
Capturing Delayed Feedback,heuristic greedy,TRUE,4,17.185467,42.6891827,33
Cisco at AAAI-CAD21,heuristic greedy,TRUE,3,18.12383723,34.5970792,17
Crowdsourcing real-time viral,heuristic greedy,TRUE,4,11.97617793,42.7141516,26
Deep Open Intent,heuristic greedy,TRUE,3,20.80716276,30,35
Deep Spiking Neural,heuristic greedy,TRUE,5,17.33875275,54.0510304,32
Delving into Sample,heuristic greedy,FALSE,3,10.20695901,35.3042728,13
Detection of social,heuristic greedy,TRUE,6,45.8490665,63.5611776,59
Deterministic and Discriminative,heuristic greedy,TRUE,4,14.89018869,45.8020304,29
Discriminative Sentence Modeling,heuristic greedy,FALSE,5,19.5682323,54.84652675,44
Evaluating Digital Agriculture,heuristic greedy,TRUE,5,25.64801168,56.3290304,32
Evaluating Sequence-to-Sequence Learning,heuristic greedy,TRUE,5,20.2596705,52.6075152,35
Evaluation of a,heuristic greedy,FALSE,7,19.50740051,75.59674512,49
Evaluation of Fake,heuristic greedy,TRUE,5,15.62907386,51.2308864,64
Evolutionarily-Curated Curriculum Learning,heuristic greedy,TRUE,2,28.4013536,43.6724901,2
Expected Value of,heuristic greedy,TRUE,6,23.96519184,67.4377248,33
Explainable Failure Predictions,heuristic greedy,FALSE,2,4.376922131,20,14
Explaining Reward Functions,heuristic greedy,FALSE,4,29.55590081,41.9250107,22
Exploiting Cross-Lingual Subword,heuristic greedy,TRUE,4,13.92768836,40.28252445,33
Exploiting Language Models,heuristic greedy,TRUE,4,12.97585464,44.4812152,19
Exploiting Multiple Abstractions,heuristic greedy,FALSE,5,54.25904036,54.7562127,41
Exploring Gameplay With,heuristic greedy,TRUE,8,14.25849628,100.2309644,41
Exploring the Efficacy,heuristic greedy,TRUE,4,28.45146894,72.17145225,13
Fair Conformal Predictors,heuristic greedy,TRUE,4,20.84457636,47.83548,4
Fast and Knowledge-Free,heuristic greedy,TRUE,4,13.29574037,40.0223216,40
Few-Shot Learning for,heuristic greedy,TRUE,4,23.58726048,50.66670705,18
Finding All Bayesian,heuristic greedy,TRUE,5,14.63368106,64.802574,27
Fine-Grained Car Detection,heuristic greedy,TRUE,5,10.07409382,54.4560304,32
Fine-grained Retrieval Prompt,heuristic greedy,TRUE,3,18.19648576,34.5930304,24
Fixation Maximization in,heuristic greedy,TRUE,4,15.17749763,46.1845152,19
Forecasting with Sparse,heuristic greedy,TRUE,4,11.11560154,46.1430304,19
Frame and Feature-Context,heuristic greedy,TRUE,7,16.7757163,75.87177605,71
Game-theoretic Approach for,heuristic greedy,TRUE,9,22.81071472,96.7508264,65
Generalized Planning in,heuristic greedy,FALSE,5,43.40716481,50.5655152,20
Generative structured normalizing,heuristic greedy,TRUE,4,33.02316141,41.9104402,42
Geometric,heuristic greedy,TRUE,2,21.58445048,20,25
Harnessing the Power,heuristic greedy,TRUE,7,11.04576325,85.52227805,35
Hierarchical Average Reward,heuristic greedy,TRUE,6,18.77548051,64.99222188,27
Human Capabilities as,heuristic greedy,FALSE,6,28.70660186,61.8984955,43
Human in the,heuristic greedy,FALSE,6,20.2902112,62.5460304,39
Humans_ Assessment of,heuristic greedy,TRUE,6,16.67238879,74.6781552,39
Hyperbolic Graph Diffusion,heuristic greedy,TRUE,4,20.97354245,56.73061866,22
Identification of Abnormal,heuristic greedy,TRUE,5,14.12051415,54.0671875,55
Identifying Unsafe Videos,heuristic greedy,TRUE,1,13.59226513,11.3598864,5
Improving Model Robustness,heuristic greedy,FALSE,6,18.14609575,63.4650107,42
Improving Multi-Document Summarization,heuristic greedy,TRUE,3,1.416080236,32.3935152,21
Improving Neural Question,heuristic greedy,TRUE,4,23.36673331,46.1249296,18
Improving Pareto Front,heuristic greedy,TRUE,3,7.682777643,36.87773652,8
Improving Training and,heuristic greedy,TRUE,3,11.20639229,30.1133864,45
Information Retention in,heuristic greedy,FALSE,5,15.99811935,53.2770304,31
Integrated In-vehicle Monitoring,heuristic greedy,TRUE,3,43.6823976,46.6471262,9
Intelligent Frame Selection,heuristic greedy,TRUE,2,19.3490181,20.6241364,12
Interpretable Local Tree,heuristic greedy,TRUE,5,7.775999308,65.11726417,16
Interpretable NLG for,heuristic greedy,TRUE,6,5.047654152,63.7670304,39
Interpretable Rumor Detection,heuristic greedy,TRUE,2,17.13256669,27.9953245,2
Investigating the Effects,heuristic greedy,TRUE,3,17.65566301,33.4074886,27
Joint Word Representation,heuristic greedy,TRUE,2,5.094140768,21.6482576,8
Journey to the,heuristic greedy,FALSE,7,11.57068324,74.4812732,57
Keyword-Guided Neural Conversational,heuristic greedy,TRUE,4,5.04473877,44.1160304,25
Knowledge-driven Natural Language,heuristic greedy,FALSE,3,20.4572947,31.53727466,24
Knowledge-incorporating ESIM models,heuristic greedy,TRUE,4,12.7691083,42.6075152,28
Labeled Memory Networks,heuristic greedy,TRUE,2,12.59789968,21.2524912,22
Language Models are,heuristic greedy,TRUE,6,12.3237772,69.2437728,28
Learning 2D Temporal,heuristic greedy,TRUE,4,5.684704781,42.6430304,21
Learning a Wavelet-like,heuristic greedy,TRUE,5,24.41956401,53.7088811,45
Learning Binary Residual,heuristic greedy,FALSE,4,14.34004021,43.1695152,16
Learning Invariant Representation,heuristic greedy,FALSE,2,12.44936037,24.38229183,8
Learning Logistic Circuits,heuristic greedy,FALSE,7,15.63004541,71.8220304,42
Learning Markov Random,heuristic greedy,FALSE,6,13.78977323,104.0019604,30
Learning Occupational Task-Shares,heuristic greedy,TRUE,5,38.70438838,56.36830363,22
Learning Optical Flow,heuristic greedy,FALSE,4,39.74109864,96.26831937,12
Learning Rewards from,heuristic greedy,TRUE,6,20.67653084,65.73723255,33
Learning Scripts as,heuristic greedy,TRUE,4,11.61253548,43.7478368,43
Learning Sparse Sharing,heuristic greedy,TRUE,4,18.17718768,41.2308864,18
Learning the Joint,heuristic greedy,TRUE,3,12.95843458,41.6887152,12
Learning Transferable Adversarial,heuristic greedy,TRUE,5,26.5139184,51.6646883,31
Let There Be,heuristic greedy,TRUE,5,8.509792805,50.675217,71
Local Differential Privacy,heuristic greedy,FALSE,4,17.16774392,40,35
Long-Term Trends in,heuristic greedy,TRUE,5,16.598562,50.0052576,42
LTU Attacker for,heuristic greedy,FALSE,7,18.38719058,72.8824955,54
Open-Vocabulary Semantic Parsing,heuristic greedy,FALSE,6,15.35592151,63.6934016,34
Open-Vocabulary Video Relation,heuristic greedy,TRUE,3,25.82958055,31.2556364,9
Optimal Pricing for,heuristic greedy,TRUE,3,23.44142413,30,32
Order-Free RNN with,heuristic greedy,TRUE,2,9.128397226,40.480284,4
Out of the,heuristic greedy,TRUE,3,13.65936589,30,24
Painterly Image Harmonization,heuristic greedy,TRUE,5,4.295728445,73.85347555,31
Parameterized Indexed Value,heuristic greedy,FALSE,7,8.039609432,79.65961419,56
