Name,Algorithm,Reduced,Iterations,Time,Cost,Total_operators
2318_18,regreession model greedy,FALSE,2,7.078545809,12.6176,2
24147,regreession model greedy,TRUE,3,9.19474864,23.6396288,3
A Comparison of,regreession model greedy,FALSE,2,7.895193577,15.3297576,2
A Critical Look,regreession model greedy,TRUE,3,11.2975409,17.3227576,3
A Domain Generalization,regreession model greedy,FALSE,1,3.571094751,5.0706608,1
A Knowledge Driven,regreession model greedy,FALSE,8,24.64552331,65.3878472,8
A Multilayer Convolutional,regreession model greedy,TRUE,8,22.07059908,43.70081308,8
A Natural Language,regreession model greedy,TRUE,5,21.07770181,23.82179495,5
A Question-Answering Approach,regreession model greedy,FALSE,4,16.30724716,20.95673895,5
A Student-Teacher Architecture,regreession model greedy,FALSE,5,19.0524559,39.6675152,6
A Unified Implicit,regreession model greedy,TRUE,5,15.17696571,29.8533667,5
Abusive Language Detection,regreession model greedy,TRUE,5,16.84611154,28.7829967,5
Accelerating the Development,regreession model greedy,FALSE,8,26.1825397,61.5367652,8
Accurate and Interpretable,regreession model greedy,TRUE,7,20.60185528,47.5367728,7
Action Branching Architectures,regreession model greedy,TRUE,3,8.236260176,8.4503309,3
AUPCR Maximizing Matchings,regreession model greedy,TRUE,6,25.46810675,51.0311664,6
Balanced Linear Contextual,regreession model greedy,TRUE,6,20.43857598,57.240144,6
Beyond,regreession model greedy,FALSE,7,23.09509492,53.0851091,7
Bidirectional Temporal Plan,regreession model greedy,TRUE,5,19.28563595,27.53557424,5
BOK,regreession model greedy,FALSE,7,27.79081655,46.14853735,7
Capturing Delayed Feedback,regreession model greedy,TRUE,4,13.32410574,33.49856375,4
Cisco at AAAI-CAD21,regreession model greedy,TRUE,2,5.129053116,10.1977092,2
Crowdsourcing real-time viral,regreession model greedy,TRUE,5,21.02080107,29.6180228,5
Deep Open Intent,regreession model greedy,TRUE,5,13.48851252,24.5581652,5
Deep Spiking Neural,regreession model greedy,TRUE,6,10.66918898,44.097894,6
Delving into Sample,regreession model greedy,FALSE,5,40.48228621,36.9835228,5
Detection of social,regreession model greedy,TRUE,8,19.47242451,37.120814,8
Deterministic and Discriminative,regreession model greedy,TRUE,3,20.04263592,21.07761535,3
Discriminative Sentence Modeling,regreession model greedy,FALSE,8,13.03244853,51.12414795,9
Evaluating Digital Agriculture,regreession model greedy,FALSE,5,24.94298935,35.9847576,5
Evaluating Sequence-to-Sequence Learning,regreession model greedy,TRUE,5,16.24401712,31.2222652,5
Evaluation of a,regreession model greedy,FALSE,10,12.262707,66.9941114,10
Evaluation of Fake,regreession model greedy,TRUE,7,31.50013733,30.2023728,7
Evolutionarily-Curated Curriculum Learning,regreession model greedy,TRUE,2,25.85181975,43.867488,2
Expected Value of,regreession model greedy,TRUE,4,3.653218269,26.7630884,4
Explainable Failure Predictions,regreession model greedy,TRUE,7,14.54445839,102.6299579,7
Explaining Reward Functions,regreession model greedy,FALSE,3,22.02932096,17.9111364,3
Exploiting Cross-Lingual Subword,regreession model greedy,TRUE,1,8.677695274,0,1
Exploiting Language Models,regreession model greedy,TRUE,5,4.144223213,47.59665896,5
Exploiting Multiple Abstractions,regreession model greedy,FALSE,8,17.91866565,45.23834375,8
Exploring Gameplay With,regreession model greedy,TRUE,9,49.62278938,89.347078,9
Exploring the Efficacy,regreession model greedy,TRUE,4,21.19639516,64.24806585,4
Fair Conformal Predictors,regreession model greedy,TRUE,4,13.43437076,40,4
