Name,Algorithm,Reduced,Iterations,Time,Cost,Total_operators
2318_18,regreession model greedy,False,2,7.078545808792114,12.617599999999982,2
24147,regreession model greedy,True,3,9.194748640060425,23.639628799999997,3
A Comparison of,regreession model greedy,False,2,7.895193576812744,15.329757599999994,2
A Critical Look,regreession model greedy,True,3,11.29754090309143,17.322757600000017,3
A Domain Generalization,regreession model greedy,False,1,3.5710947513580322,5.070660800000013,1
A Knowledge Driven,regreession model greedy,False,8,24.64552330970764,65.3878472,8
A Multilayer Convolutional,regreession model greedy,True,8,22.07059907913208,44.298023549999996,8
A Natural Language,regreession model greedy,True,5,21.077701807022095,23.821794949999997,5
A Question-Answering Approach,regreession model greedy,False,4,16.307247161865234,20.956738950000016,5
A Student-Teacher Architecture,regreession model greedy,False,5,19.05245590209961,39.66751520000001,6
A Unified Implicit,regreession model greedy,True,5,15.176965713500977,29.85336669999998,5
Abusive Language Detection,regreession model greedy,True,5,16.846111536026,28.78299669800005,5
Accelerating the Development,regreession model greedy,False,8,26.182539701461792,61.53676519999998,8
Accurate and Interpretable,regreession model greedy,True,7,20.601855278015137,47.53677279999994,7
Action Branching Architectures,regreession model greedy,True,3,8.236260175704956,8.450330899999983,3
AUPCR Maximizing Matchings,regreession model greedy,True,7,25.468106746673584,61.204866400000014,7
Balanced Linear Contextual,regreession model greedy,True,6,20.438575983047485,57.240143999999944,6
Beyond,regreession model greedy,False,7,23.095094919204712,53.08510909999998,7
Bidirectional Temporal Plan,regreession model greedy,True,5,19.285635948181152,27.535574240000003,5
BOK,regreession model greedy,False,7,27.79081654548645,46.148537350000005,7
Capturing Delayed Feedback,regreession model greedy,True,4,13.324105739593506,33.49856375,4
Cisco at AAAI-CAD21,regreession model greedy,True,2,5.129053115844727,10.197709200000006,2
Crowdsourcing real-time viral,regreession model greedy,True,5,21.020801067352295,30.828022799999978,5
Deep Just-In-Time Inconsistency,regreession model greedy,False,4,13.488512516021729,71.51651409375005,4
Deep Open Intent,regreession model greedy,True,4,10.669188976287842,21.550505349999995,4
Deep Spiking Neural,regreession model greedy,True,6,40.48228621482849,44.097894,6
Delving into Sample,regreession model greedy,False,5,19.472424507141113,36.983522799999946,5
Detection of social,regreession model greedy,True,8,20.042635917663574,37.12081399999991,8
Deterministic and Discriminative,regreession model greedy,True,3,13.032448530197144,21.0771153485,3
Discriminative Sentence Modeling,regreession model greedy,False,8,24.942989349365234,51.124147950000605,9
Evaluating Digital Agriculture,regreession model greedy,False,5,16.244017124176025,36.102757600000004,5
Evaluating Sequence-to-Sequence Learning,regreession model greedy,True,5,12.262706995010376,31.222265199999995,5
Evaluation of a,regreession model greedy,False,10,31.500137329101562,66.99411139999995,10
Evaluation of Fake,regreession model greedy,True,7,25.85181975364685,30.202372799999992,7
Evolutionarily-Curated Curriculum Learning,regreession model greedy,True,2,3.6532182693481445,43.86748799999998,2
Expected Value of,regreession model greedy,True,4,14.544458389282227,26.763088399999972,4
Explainable Failure Predictions,regreession model greedy,True,7,22.02932095527649,102.62995789375003,7
Explaining Reward Functions,regreession model greedy,False,3,8.677695274353027,17.911136400000004,3
Exploiting Cross-Lingual Subword,regreession model greedy,True,1,4.144223213195801,0.0,1
Exploiting Language Models,regreession model greedy,True,5,17.918665647506714,47.596658959999985,5
Exploiting Multiple Abstractions,regreession model greedy,False,8,49.62278938293457,45.461843749999986,8
Exploring Gameplay With,regreession model greedy,True,8,21.1963951587677,83.61732039999995,8
Exploring the Efficacy,regreession model greedy,True,4,13.434370756149292,64.24806584775997,4
Fair Conformal Predictors,regreession model greedy,True,4,24.08451747894287,40.0,4
Fast and Knowledge-Free,regreession model greedy,True,5,19.190590143203735,35.16659560000002,5
Few-Shot Learning for,regreession model greedy,True,3,6.967681407928467,22.005042924999998,3
Finding All Bayesian,regreession model greedy,True,7,25.253411769866943,53.334687599999995,7
Fine-Grained Car Detection,regreession model greedy,True,6,18.701532125473022,41.2168128,6
Fine-grained Retrieval Prompt,regreession model greedy,False,2,13.123035192489624,11.659515199999959,3
Fixation Maximization in,regreession model greedy,True,4,16.47972798347473,24.926236399999993,4
Forecasting with Sparse,regreession model greedy,True,4,22.768850326538086,31.83888640000002,4
Frame and Feature-Context,regreession model greedy,True,8,49.69163918495178,53.09617289999989,8
Game-theoretic Approach for,regreession model greedy,False,12,49.80551743507385,80.75986559999986,12
Generalized Planning in,regreession model greedy,False,3,17.614443063735962,22.641378799999984,4
Generative structured normalizing,regreession model greedy,True,5,13.983646154403687,28.927839150000068,5
Geometric,regreession model greedy,True,5,47.828290939331055,25.786574634999994,5
Harnessing the Power,regreession model greedy,True,8,32.888466119766235,81.58152537499998,8
Hierarchical Average Reward,regreession model greedy,True,5,16.584245681762695,43.29372188000002,5
Human Capabilities as,regreession model greedy,True,4,9.627129793167114,26.405376549999964,4
Human in the,regreession model greedy,False,7,24.36220645904541,58.67288639999998,7
Humans_ Assessment of,regreession model greedy,True,10,22.855994701385498,70.96449560000046,10
Hyperbolic Graph Diffusion,regreession model greedy,False,4,18.36824345588684,25.543336400000072,5
Identification of Abnormal,regreession model greedy,True,6,21.089318990707397,42.419329589999975,6
Identifying Unsafe Videos,regreession model greedy,True,2,6.08554744720459,9.118386400000006,2
Improving Model Robustness,regreession model greedy,False,6,23.44603943824768,43.37787655000004,6
Improving Multi-Document Summarization,regreession model greedy,True,4,10.494098901748657,26.108173999999963,4
Improving Neural Question,regreession model greedy,True,4,11.285019874572754,34.81393080000001,4
Improving Pareto Front,regreession model greedy,True,1,2.5905566215515137,9.64562304889472,1
Improving Training and,regreession model greedy,True,7,34.281407594680786,16.39707814999997,7
Information Retention in,regreession model greedy,False,6,23.582340717315674,42.238765199999975,6
Integrated In-vehicle Monitoring,regreession model greedy,True,4,10.387460470199585,42.64799739999995,4
Intelligent Frame Selection,regreession model greedy,True,2,4.901487350463867,12.816015199999981,2
Interpretable Local Tree,regreession model greedy,True,4,13.075878143310547,28.619618950000017,4
Interpretable NLG for,regreession model greedy,True,6,17.381292581558228,48.98388639999999,6
Interpretable Rumor Detection,regreession model greedy,True,2,4.905393123626709,27.99532449999998,2
Investigating the Effects,regreession model greedy,True,6,20.99241304397583,43.80179120000007,6
Joint Word Representation,regreession model greedy,True,1,1.569657802581787,3.92410000000001,1
Journey to the,regreession model greedy,False,8,35.84191536903381,61.49016889999993,8
