Name,Algorithm,Reduced,Iterations,Time,Cost,Total_operators
2318_18,non stop classification greedy,False,2,7.764530181884766,17.852799999999945,5
24147,non stop classification greedy,True,1,2.4192845821380615,49.04446199999998,9
A Comparison of,non stop classification greedy,False,2,8.277130842208862,20.659515199999987,9
A Critical Look,non stop classification greedy,True,2,6.8123486042022705,18.036143999999993,11
A Domain Generalization,non stop classification greedy,False,1,3.6923117637634277,2.5353304000000065,5
A Knowledge Driven,non stop classification greedy,False,7,22.38421368598938,58.11302079999999,18
A Multilayer Convolutional,non stop classification greedy,True,5,14.272685766220093,87.82320006000003,32
A Natural Language,non stop classification greedy,True,7,30.364543199539185,52.80370202500001,21
A Question-Answering Approach,non stop classification greedy,True,9,28.212846040725708,59.578074775000005,27
A Student-Teacher Architecture,non stop classification greedy,True,4,12.271605968475342,56.466693400000025,25
A Unified Implicit,non stop classification greedy,True,5,15.254918575286865,34.53705027500004,18
Abusive Language Detection,non stop classification greedy,True,4,13.700219631195068,72.30672370250012,34
Accelerating the Development,non stop classification greedy,False,8,26.071622848510742,75.84727279999996,26
Accurate and Interpretable,non stop classification greedy,False,6,19.17878556251526,57.45277279999999,24
Action Branching Architectures,non stop classification greedy,True,2,5.170634746551514,21.282401599999986,26
AUPCR Maximizing Matchings,non stop classification greedy,True,6,22.10519313812256,50.21997559999997,15
Balanced Linear Contextual,non stop classification greedy,True,3,9.222143173217773,41.36477279999997,12
Beyond,non stop classification greedy,True,7,21.68456792831421,58.33425042499994,26
Bidirectional Temporal Plan,non stop classification greedy,True,4,15.210497856140137,42.854987839999936,17
BOK,non stop classification greedy,False,6,24.207139492034912,46.572855874999924,21
Capturing Delayed Feedback,non stop classification greedy,True,5,17.66208791732788,51.34506962500001,25
Cisco at AAAI-CAD21,non stop classification greedy,True,2,5.787115097045898,21.81282080000001,14
Crowdsourcing real-time viral,non stop classification greedy,True,4,16.94122004508972,35.418151599999995,20
Deep Just-In-Time Inconsistency,non stop classification greedy,False,4,13.463851690292358,74.25364289375005,11
Deep Open Intent,non stop classification greedy,True,3,8.388104677200317,29.976140149999935,30
Deep Spiking Neural,non stop classification greedy,True,5,32.7191219329834,53.82003040000001,30
Delving into Sample,non stop classification greedy,False,3,12.041987419128418,48.59003039999993,13
Detection of social,non stop classification greedy,True,7,18.60711693763733,37.87531399999983,30
Deterministic and Discriminative,non stop classification greedy,True,3,13.212996482849121,17.80498654850001,7
Discriminative Sentence Modeling,non stop classification greedy,False,6,19.43605637550354,50.358269150000666,23
Evaluating Digital Agriculture,non stop classification greedy,False,5,17.375495433807373,48.50927280000002,20
Evaluating Sequence-to-Sequence Learning,non stop classification greedy,True,5,12.411059856414795,47.452272799999946,29
Evaluation of a,non stop classification greedy,False,7,20.3059983253479,52.18222767499998,25
Evaluation of Fake,non stop classification greedy,True,3,10.99037504196167,11.22247879999999,12
Evolutionarily-Curated Curriculum Learning,non stop classification greedy,True,2,3.6915886402130127,43.67249009999999,2
Expected Value of,non stop classification greedy,True,3,10.86401081085205,22.333830799999973,9
Explainable Failure Predictions,non stop classification greedy,True,6,19.22056794166565,96.50251569375004,13
Explaining Reward Functions,non stop classification greedy,False,5,14.95155143737793,36.474886825,19
Exploiting Cross-Lingual Subword,non stop classification greedy,True,1,4.311601877212524,0.0,1
Exploiting Language Models,non stop classification greedy,True,3,9.973156213760376,30.404537759999982,9
Exploiting Multiple Abstractions,non stop classification greedy,False,6,38.97870707511902,45.060348675,24
Exploring Gameplay With,non stop classification greedy,True,5,13.370001077651978,56.560449199999965,17
