Name,Algorithm,Reduced,Iterations,Time,Cost,Total_operators
2318_18,classifciation and regreession model greedy,False,2,7.335939884185791,17.852799999999945,5
24147,classifciation and regreession model greedy,True,1,2.215254306793213,49.04446199999998,9
A Comparison of,classifciation and regreession model greedy,False,2,8.375448226928711,20.659515199999987,9
A Critical Look,classifciation and regreession model greedy,True,2,6.750328063964844,18.036143999999993,11
A Domain Generalization,classifciation and regreession model greedy,False,1,3.9527225494384766,2.5353304000000065,5
A Knowledge Driven,classifciation and regreession model greedy,False,7,22.114312648773193,58.11302079999999,18
A Multilayer Convolutional,classifciation and regreession model greedy,True,5,13.816614627838135,86.96470005999997,26
A Natural Language,classifciation and regreession model greedy,True,7,30.73897123336792,52.80370202500001,21
A Question-Answering Approach,classifciation and regreession model greedy,True,9,31.140180826187134,59.578074775000005,27
A Student-Teacher Architecture,classifciation and regreession model greedy,True,4,12.384642362594604,56.466693400000025,25
A Unified Implicit,classifciation and regreession model greedy,True,5,15.788302659988403,34.53705027500004,18
Abusive Language Detection,classifciation and regreession model greedy,True,4,13.876847267150879,72.30672370250012,34
Accelerating the Development,classifciation and regreession model greedy,False,8,25.170934200286865,75.84727279999996,26
Accurate and Interpretable,classifciation and regreession model greedy,False,6,19.849308252334595,57.45277279999999,24
Action Branching Architectures,classifciation and regreession model greedy,True,2,5.291661977767944,21.282401599999986,26
AUPCR Maximizing Matchings,classifciation and regreession model greedy,True,5,19.738102436065674,49.24045440000002,16
Balanced Linear Contextual,classifciation and regreession model greedy,True,3,9.24898076057434,41.36477279999997,12
Beyond,classifciation and regreession model greedy,True,7,22.002520322799683,58.33425042499994,26
Bidirectional Temporal Plan,classifciation and regreession model greedy,True,4,15.831901788711548,42.85448783999995,17
BOK,classifciation and regreession model greedy,False,6,23.665151119232178,46.572855874999924,21
Capturing Delayed Feedback,classifciation and regreession model greedy,True,5,18.4478862285614,51.34506962500001,25
Cisco at AAAI-CAD21,classifciation and regreession model greedy,True,2,5.847707986831665,21.81282080000001,14
Crowdsourcing real-time viral,classifciation and regreession model greedy,True,4,17.025847911834717,35.084651599999965,20
Deep Open Intent,classifciation and regreession model greedy,True,5,14.810206174850464,30.688804175000044,35
Deep Spiking Neural,classifciation and regreession model greedy,True,5,33.53242897987366,53.82003040000001,30
Delving into Sample,classifciation and regreession model greedy,False,3,12.07622766494751,48.59003039999993,13
Detection of social,classifciation and regreession model greedy,True,7,17.97902226448059,37.87531399999983,30
Deterministic and Discriminative,classifciation and regreession model greedy,True,3,14.249769687652588,17.80498654850001,7
Discriminative Sentence Modeling,classifciation and regreession model greedy,False,6,18.698453664779663,50.358269150000666,23
Evaluating Digital Agriculture,classifciation and regreession model greedy,False,5,16.790193557739258,48.030272800000034,20
Evaluating Sequence-to-Sequence Learning,classifciation and regreession model greedy,True,5,12.457772254943848,47.452272799999946,29
Evaluation of a,classifciation and regreession model greedy,False,7,20.720916032791138,52.18222767499998,25
Evaluation of Fake,classifciation and regreession model greedy,True,3,10.581403017044067,11.22247879999999,12
Evolutionarily-Curated Curriculum Learning,classifciation and regreession model greedy,True,2,3.7335398197174072,43.67249009999999,2
Expected Value of,classifciation and regreession model greedy,True,3,10.313741207122803,22.333830799999973,9
Explainable Failure Predictions,classifciation and regreession model greedy,True,6,19.66606640815735,96.50251569375004,13
Explaining Reward Functions,classifciation and regreession model greedy,False,5,14.806885719299316,36.474886825,19
Exploiting Cross-Lingual Subword,classifciation and regreession model greedy,True,1,4.229349136352539,0.0,1
Exploiting Language Models,classifciation and regreession model greedy,True,3,10.30198073387146,30.404537759999982,9
Exploiting Multiple Abstractions,classifciation and regreession model greedy,False,6,39.28489089012146,45.060348675,24
Exploring Gameplay With,classifciation and regreession model greedy,True,5,12.882746934890747,57.42944919999994,17
Exploring the Efficacy,classifciation and regreession model greedy,True,4,13.923386812210083,66.88919464775998,5
Fair Conformal Predictors,classifciation and regreession model greedy,True,4,23.815227270126343,40.0,5
Fast and Knowledge-Free,classifciation and regreession model greedy,True,5,19.549012660980225,34.04673200000002,31
Few-Shot Learning for,classifciation and regreession model greedy,True,2,4.2109375,13.132669050000004,3
Finding All Bayesian,classifciation and regreession model greedy,True,3,10.790895223617554,69.06986480000009,22
Fine-Grained Car Detection,classifciation and regreession model greedy,True,4,12.348406314849854,37.735562800000054,17
Fine-grained Retrieval Prompt,classifciation and regreession model greedy,True,4,15.92228627204895,22.481623999999996,7
Fixation Maximization in,classifciation and regreession model greedy,True,3,12.439022064208984,25.161957600000022,9
Forecasting with Sparse,classifciation and regreession model greedy,True,4,22.60048508644104,54.044908800000044,15
Frame and Feature-Context,classifciation and regreession model greedy,True,8,50.57384514808655,52.30705662500005,20
Game-theoretic Approach for,classifciation and regreession model greedy,False,8,31.807456254959106,67.78946239999988,37
Generalized Planning in,classifciation and regreession model greedy,False,5,21.72502040863037,45.28275759999997,12
Generative structured normalizing,classifciation and regreession model greedy,True,5,14.159829378128052,34.00014294999994,17
Geometric,classifciation and regreession model greedy,True,3,28.750225067138672,17.574687360000013,17
Harnessing the Power,classifciation and regreession model greedy,True,5,20.477213859558105,60.90896589999993,22
Hierarchical Average Reward,classifciation and regreession model greedy,True,4,13.09921407699585,34.507772799999955,11
Human Capabilities as,classifciation and regreession model greedy,True,6,15.6062753200531,38.943371624999976,22
Human in the,classifciation and regreession model greedy,False,6,20.99056100845337,53.95514399999996,16
Humans_ Assessment of,classifciation and regreession model greedy,True,6,14.95608377456665,61.3127764000007,23
Hyperbolic Graph Diffusion,classifciation and regreession model greedy,True,4,14.430944442749023,29.18370160000002,32
Identification of Abnormal,classifciation and regreession model greedy,True,5,17.888742446899414,36.413895190000034,22
Identifying Unsafe Videos,classifciation and regreession model greedy,True,1,1.4432926177978516,7.573257599999977,3
Improving Model Robustness,classifciation and regreession model greedy,False,6,24.000901460647583,58.076253099999974,33
Improving Multi-Document Summarization,classifciation and regreession model greedy,True,3,9.343795537948608,48.322541599999965,23
Improving Neural Question,classifciation and regreession model greedy,True,3,8.465255975723267,32.42067200000005,11
Improving Pareto Front,classifciation and regreession model greedy,True,2,9.840532779693604,16.249751848894704,2
Improving Training and,classifciation and regreession model greedy,True,5,24.759868383407593,29.51075802499996,26
Information Retention in,classifciation and regreession model greedy,False,5,20.25264596939087,46.8682728,16
Integrated In-vehicle Monitoring,classifciation and regreession model greedy,True,2,4.787671089172363,33.343997400000035,5
Intelligent Frame Selection,classifciation and regreession model greedy,True,2,5.145068407058716,15.682643999999982,7
