Name,Algorithm,Reduced,Iterations,Time,Cost,Total_operators
2318_18,heuristic greedy,False,1,3.5063633918762207,10.0,4
24147,heuristic greedy,True,3,8.914372444152832,31.255636400000043,9
A Comparison of,heuristic greedy,False,2,7.594264507293701,20.659515199999987,8
A Critical Look,heuristic greedy,True,1,2.534991979598999,10.0,5
A Knowledge Driven,heuristic greedy,False,7,21.71079158782959,71.20938880000006,46
A Multilayer Convolutional,heuristic greedy,False,4,10.39014720916748,43.52430642499999,30
A Natural Language,heuristic greedy,True,4,16.70063090324402,42.23783679999997,46
A Question-Answering Approach,heuristic greedy,False,8,26.152661323547363,82.8059867,65
A Student-Teacher Architecture,heuristic greedy,False,1,6.105494022369385,10.0,6
A Unified Implicit,heuristic greedy,True,1,1.625913381576538,10.0,13
Abusive Language Detection,heuristic greedy,True,9,34.02569580078125,96.65845162000005,33
Accelerating the Development,heuristic greedy,False,8,25.435397624969482,81.82040159999997,47
Accurate and Interpretable,heuristic greedy,False,6,18.84215259552002,65.03503039999998,39
Action Branching Architectures,heuristic greedy,True,4,11.848793745040894,47.2515267499999,51
AUPCR Maximizing Matchings,heuristic greedy,False,2,11.664087295532227,21.528515200000015,21
Balanced Linear Contextual,heuristic greedy,True,5,19.47520136833191,67.21503039999993,26
Beyond,heuristic greedy,True,4,13.88768219947815,40.0,39
Bidirectional Temporal Plan,heuristic greedy,True,1,2.490201473236084,10.0,8
BOK,heuristic greedy,False,4,17.185467004776,41.622973200000004,35
Capturing Delayed Feedback,heuristic greedy,True,4,18.12383723258972,42.68918270000002,33
Cisco at AAAI-CAD21,heuristic greedy,True,3,11.97617793083191,34.597079199999996,17
Crowdsourcing real-time viral,heuristic greedy,True,4,20.807162761688232,42.714151599999965,25
Deep Just-In-Time Inconsistency,heuristic greedy,False,4,17.33875274658203,79.72790049375007,13
Deep Open Intent,heuristic greedy,True,3,10.206959009170532,30.0,33
Deep Spiking Neural,heuristic greedy,True,5,45.849066495895386,54.0510304,32
Delving into Sample,heuristic greedy,False,3,14.890188694000244,35.30427279999998,13
Detection of social,heuristic greedy,True,6,19.56823229789734,63.561177599999894,59
Deterministic and Discriminative,heuristic greedy,True,4,25.648011684417725,45.802030400000035,29
Discriminative Sentence Modeling,heuristic greedy,False,5,20.25967049598694,54.84652675000066,44
Evaluating Digital Agriculture,heuristic greedy,True,5,19.507400512695312,56.32903040000002,32
Evaluating Sequence-to-Sequence Learning,heuristic greedy,True,5,15.629073858261108,52.607515199999966,35
Evaluation of a,heuristic greedy,False,7,28.40135359764099,75.5967451249999,49
Evaluation of Fake,heuristic greedy,True,5,23.96519184112549,51.230886399999946,64
Evolutionarily-Curated Curriculum Learning,heuristic greedy,True,2,4.376922130584717,43.67249009999999,2
Expected Value of,heuristic greedy,True,6,29.555900812149048,67.43772479999997,33
Explainable Failure Predictions,heuristic greedy,False,2,13.927688360214233,20.0,14
Explaining Reward Functions,heuristic greedy,False,4,12.975854635238647,41.92501070000003,22
Exploiting Cross-Lingual Subword,heuristic greedy,True,4,54.25904035568237,40.28252444999998,33
Exploiting Language Models,heuristic greedy,True,4,14.258496284484863,44.48121519999995,19
Exploiting Multiple Abstractions,heuristic greedy,False,5,28.45146894454956,54.75621269999999,41
Exploring Gameplay With,heuristic greedy,True,8,20.844576358795166,100.23096439999986,41
Exploring the Efficacy,heuristic greedy,True,4,13.295740365982056,72.17145224775999,13
Fair Conformal Predictors,heuristic greedy,True,4,23.587260484695435,47.83547999999999,4
Fast and Knowledge-Free,heuristic greedy,True,4,14.633681058883667,40.022321600000055,40
Few-Shot Learning for,heuristic greedy,True,4,10.07409381866455,50.6667070499999,18
Finding All Bayesian,heuristic greedy,True,5,18.19648575782776,64.80257400000002,27
Fine-Grained Car Detection,heuristic greedy,True,5,15.177497625350952,54.456030399999975,32
Fine-grained Retrieval Prompt,heuristic greedy,True,3,11.115601539611816,34.593030399999975,24
Fixation Maximization in,heuristic greedy,True,4,16.775716304779053,46.18451519999999,19
Forecasting with Sparse,heuristic greedy,True,4,22.810714721679688,46.143030399999944,19
Frame and Feature-Context,heuristic greedy,True,7,43.40716481208801,75.86477604999995,71
Game-theoretic Approach for,heuristic greedy,True,9,33.0231614112854,96.75082639999998,65
Generalized Planning in,heuristic greedy,False,5,21.584450483322144,50.565515199999936,20
Generative structured normalizing,heuristic greedy,True,4,11.04576325416565,41.91044019999997,42
Geometric,heuristic greedy,True,2,18.77548050880432,20.0,25
Harnessing the Power,heuristic greedy,True,7,28.706601858139038,85.52227804999993,35
Hierarchical Average Reward,heuristic greedy,True,6,20.29021120071411,64.99222188000002,27
Human Capabilities as,heuristic greedy,False,6,16.672388792037964,61.89849549999997,43
Human in the,heuristic greedy,False,6,20.97354245185852,62.54603039999995,39
Humans_ Assessment of,heuristic greedy,True,6,14.120514154434204,74.67815520000076,39
Hyperbolic Graph Diffusion,heuristic greedy,True,4,13.592265129089355,56.730618659,22
Identification of Abnormal,heuristic greedy,True,5,18.146095752716064,54.0671874999999,55
Identifying Unsafe Videos,heuristic greedy,True,1,1.4160802364349365,11.359886399999965,5
Improving Model Robustness,heuristic greedy,False,6,23.36673331260681,63.46501070000011,39
Improving Multi-Document Summarization,heuristic greedy,True,3,7.682777643203735,32.393515200000024,21
Improving Neural Question,heuristic greedy,True,4,11.206392288208008,46.12492960000006,18
Improving Pareto Front,heuristic greedy,True,3,15.998119354248047,36.877736518882344,8
Improving Training and,heuristic greedy,True,3,43.68239760398865,31.08761669999997,44
Information Retention in,heuristic greedy,False,5,19.349018096923828,53.2770304,31
Integrated In-vehicle Monitoring,heuristic greedy,True,3,7.775999307632446,46.64812619999995,9
Intelligent Frame Selection,heuristic greedy,True,2,5.047654151916504,20.62413639999997,12
Interpretable Local Tree,heuristic greedy,True,5,17.132566690444946,65.11726416700002,16
Interpretable NLG for,heuristic greedy,True,6,17.655663013458252,63.76703039999995,39
Interpretable Rumor Detection,heuristic greedy,True,2,5.0941407680511475,27.99532449999998,2
Investigating the Effects,heuristic greedy,True,3,11.570683240890503,33.40748860000025,27
Joint Word Representation,heuristic greedy,True,2,5.04473876953125,21.648257599999994,8
Journey to the,heuristic greedy,True,5,20.457294702529907,50.20413640000001,47
Keyword-Guided Neural Conversational,heuristic greedy,True,4,12.769108295440674,44.11603040000006,25
Knowledge-driven Natural Language,heuristic greedy,False,3,12.597899675369263,31.53727465600008,24
Knowledge-incorporating ESIM models,heuristic greedy,True,4,12.323777198791504,42.607515199999966,28
Labeled Memory Networks,heuristic greedy,True,2,5.684704780578613,21.25249119999995,22
