Name,Algorithm,Reduced,Iterations,Time,Cost,Total_operators
2318_18,model greedy,False,1,3.6823229789733887,7.852799999999945,4
24147,model greedy,True,1,2.2281594276428223,49.04446199999998,9
A Comparison of,model greedy,False,1,4.630188226699829,10.659515199999987,8
A Critical Look,model greedy,True,2,6.699268102645874,18.036143999999993,11
A Domain Generalization,model greedy,False,0,0.03389787673950195,0.0,4
A Knowledge Driven,model greedy,False,1,3.4815292358398438,5.325347199999982,12
A Multilayer Convolutional,model greedy,True,5,14.198191404342651,87.82320006000003,32
A Natural Language,model greedy,False,3,13.74872899055481,16.671823224999983,17
A Question-Answering Approach,model greedy,False,1,3.4800362586975098,5.556257600000009,19
A Student-Teacher Architecture,model greedy,True,4,11.592542886734009,56.466693400000025,25
A Unified Implicit,model greedy,True,5,15.478277444839478,34.53705027500004,18
Abusive Language Detection,model greedy,False,2,7.992029905319214,64.26928578750011,32
Accelerating the Development,model greedy,False,2,6.66794753074646,15.847272799999956,20
Accurate and Interpretable,model greedy,False,2,6.677192687988281,17.45277279999999,20
Action Branching Architectures,model greedy,True,2,5.216794013977051,21.282401599999986,26
AUPCR Maximizing Matchings,model greedy,True,6,22.12341833114624,50.21997559999997,15
Balanced Linear Contextual,model greedy,True,3,10.026284456253052,41.36477279999997,12
Beyond,model greedy,False,2,6.772622585296631,15.660505349999937,21
Bidirectional Temporal Plan,model greedy,True,4,15.370881080627441,42.854987839999936,17
BOK,model greedy,False,3,11.86289095878601,27.179360799999927,18
Capturing Delayed Feedback,model greedy,True,5,17.773517608642578,51.34506962500001,25
Cisco at AAAI-CAD21,model greedy,True,2,6.055102586746216,21.81282080000001,14
Crowdsourcing real-time viral,model greedy,False,1,4.847547769546509,13.790515200000016,17
Deep Just-In-Time Inconsistency,model greedy,False,1,3.990689277648926,5.474257600000016,8
Deep Open Intent,model greedy,True,3,8.186262845993042,29.976140149999935,30
Deep Spiking Neural,model greedy,False,2,15.927260160446167,23.820030400000007,27
Delving into Sample,model greedy,False,2,7.922953128814697,38.59003039999993,12
Detection of social,model greedy,False,2,5.944253444671631,13.237216799999942,25
Deterministic and Discriminative,model greedy,True,3,13.565228462219238,17.80498654850001,7
Discriminative Sentence Modeling,model greedy,False,2,6.389016628265381,19.549272799999983,19
Evaluating Digital Agriculture,model greedy,False,2,6.962051630020142,18.50927280000002,17
Evaluating Sequence-to-Sequence Learning,model greedy,False,4,11.218127965927124,37.452272799999946,28
Evaluation of a,model greedy,False,2,6.503671169281006,17.108492825000013,20
Evaluation of Fake,model greedy,True,3,10.88699221611023,11.22247879999999,12
Evolutionarily-Curated Curriculum Learning,model greedy,True,2,3.6999874114990234,43.67249009999999,2
Expected Value of,model greedy,True,3,10.66856575012207,22.333830799999973,9
