Name,Algorithm,Reduced,Iterations,Time,Cost,Total_operators
2318_18,non stop heuristic greedy,False,1,3.7597413063049316,10.0,4
24147,non stop heuristic greedy,True,3,8.966841220855713,31.255636400000043,9
A Comparison of,non stop heuristic greedy,False,2,7.720084190368652,20.659515199999987,8
A Critical Look,non stop heuristic greedy,True,1,2.3547089099884033,10.0,5
A Knowledge Driven,non stop heuristic greedy,False,7,22.8922700881958,71.20938880000006,46
A Multilayer Convolutional,non stop heuristic greedy,False,4,10.2498140335083,43.52430642499999,30
A Natural Language,non stop heuristic greedy,True,4,16.226158618927002,42.23783679999997,46
A Question-Answering Approach,non stop heuristic greedy,False,8,27.30318284034729,82.8059867,65
A Student-Teacher Architecture,non stop heuristic greedy,False,1,6.077536582946777,10.0,6
A Unified Implicit,non stop heuristic greedy,True,1,1.7444651126861572,10.0,13
Abusive Language Detection,non stop heuristic greedy,True,9,31.959511756896973,96.65845162000005,33
Accelerating the Development,non stop heuristic greedy,False,8,25.25034499168396,81.82040159999997,47
Accurate and Interpretable,non stop heuristic greedy,False,6,18.99748420715332,65.03503039999998,39
Action Branching Architectures,non stop heuristic greedy,True,4,11.623356819152832,47.2515267499999,51
AUPCR Maximizing Matchings,non stop heuristic greedy,False,2,11.485682487487793,21.528515200000015,21
Balanced Linear Contextual,non stop heuristic greedy,True,5,16.63700532913208,67.21503039999993,26
Beyond,non stop heuristic greedy,True,4,11.51983904838562,40.0,39
Bidirectional Temporal Plan,non stop heuristic greedy,True,1,2.5216710567474365,10.0,8
BOK,non stop heuristic greedy,False,6,23.53546977043152,51.042718275000006,37
Capturing Delayed Feedback,non stop heuristic greedy,True,4,13.899110078811646,42.68918270000002,33
Cisco at AAAI-CAD21,non stop heuristic greedy,True,3,9.20742416381836,34.597079199999996,17
Crowdsourcing real-time viral,non stop heuristic greedy,True,4,16.810629844665527,42.714151599999965,25
Deep Just-In-Time Inconsistency,non stop heuristic greedy,False,4,13.33055567741394,79.72790049375007,13
Deep Open Intent,non stop heuristic greedy,True,3,7.856077432632446,30.0,33
Deep Spiking Neural,non stop heuristic greedy,True,5,32.584983110427856,54.0510304,32
Delving into Sample,non stop heuristic greedy,False,4,15.468066453933716,41.98265159999997,14
Detection of social,non stop heuristic greedy,True,6,14.817901611328125,63.561177599999894,59
Deterministic and Discriminative,non stop heuristic greedy,True,4,18.51883316040039,45.802030400000035,29
Discriminative Sentence Modeling,non stop heuristic greedy,True,6,16.800026655197144,59.1334422000009,45
Evaluating Digital Agriculture,non stop heuristic greedy,True,5,14.945234060287476,56.32903040000002,32
Evaluating Sequence-to-Sequence Learning,non stop heuristic greedy,True,5,12.520768404006958,52.607515199999966,35
Evaluation of a,non stop heuristic greedy,False,8,22.859436511993408,80.63149019999989,50
Evaluation of Fake,non stop heuristic greedy,True,5,19.521052837371826,51.230886399999946,64
Evolutionarily-Curated Curriculum Learning,non stop heuristic greedy,True,2,3.736835479736328,43.67249009999999,2
