Name,Algorithm,Reduced,Iterations,Time,Cost,Total_operators
2318_18,simple greedy,False,2,8.886481046676636,12.617599999999982,2
24147,simple greedy,True,3,9.828567743301392,23.639628799999997,3
A Comparison of,simple greedy,False,2,8.341414213180542,12.664878799999997,2
A Critical Look,simple greedy,True,3,10.838492393493652,17.322757600000017,3
A Domain Generalization,simple greedy,False,1,3.6462244987487793,2.5353304000000065,1
A Knowledge Driven,simple greedy,False,7,22.836312294006348,55.387847199999996,7
A Multilayer Convolutional,simple greedy,True,9,25.902989625930786,95.65372898499999,9
A Natural Language,simple greedy,True,8,35.97729134559631,49.29782322499997,8
A Question-Answering Approach,simple greedy,True,10,32.31360697746277,62.260703574999994,10
A Student-Teacher Architecture,simple greedy,False,4,16.336599588394165,29.66751520000001,0
A Unified Implicit,simple greedy,True,5,17.06083393096924,21.459747750000005,5
Abusive Language Detection,simple greedy,True,5,17.835631370544434,26.55800052300005,5
Accelerating the Development,simple greedy,False,9,27.761772632598877,71.53676519999998,9
Accurate and Interpretable,simple greedy,False,6,18.09268283843994,46.40050759999998,6
Action Branching Architectures,simple greedy,True,2,4.721867799758911,0.0,2
AUPCR Maximizing Matchings,simple greedy,True,7,24.1464204788208,52.02279520000005,7
Balanced Linear Contextual,simple greedy,True,7,22.20251989364624,59.42577279999993,7
Beyond,simple greedy,True,7,20.837242603302002,47.800118949999984,7
Bidirectional Temporal Plan,simple greedy,True,4,14.364469051361084,16.343507599999995,4
BOK,simple greedy,False,6,23.019132375717163,28.296583075000022,6
Capturing Delayed Feedback,simple greedy,True,5,16.99863839149475,24.99487655000003,5
Cisco at AAAI-CAD21,simple greedy,True,3,8.477499961853027,16.03893020000001,3
Crowdsourcing real-time viral,simple greedy,True,5,21.370559692382812,30.828022799999978,5
Deep Just-In-Time Inconsistency,simple greedy,False,4,12.818098545074463,71.51651409375005,4
Deep Open Intent,simple greedy,True,5,13.400170803070068,24.259000424999982,5
Deep Spiking Neural,simple greedy,True,6,39.35217022895813,41.33176520000001,6
Delving into Sample,simple greedy,False,5,18.685189485549927,37.66152279999997,5
Detection of social,simple greedy,True,8,21.54814076423645,36.76031399999991,8
Deterministic and Discriminative,simple greedy,True,5,29.246994018554688,25.69387294850003,5
Discriminative Sentence Modeling,simple greedy,False,8,24.71075129508972,48.41851915000065,8
Evaluating Digital Agriculture,simple greedy,False,5,16.68083620071411,36.102757600000004,5
Evaluating Sequence-to-Sequence Learning,simple greedy,True,5,12.025308847427368,36.35200759999999,5
Evaluation of a,simple greedy,False,10,31.231997966766357,68.5571114,10
Evaluation of Fake,simple greedy,True,7,26.564517498016357,26.895872799999964,7
