Name,Algorithm,Reduced,Iterations,Time,Cost,Total_operators
2318_18,simple greedy,FALSE,2,8.886481047,12.6176,2
24147,simple greedy,TRUE,3,9.828567743,23.6396288,3
A Comparison of,simple greedy,FALSE,2,8.341414213,12.6648788,2
A Critical Look,simple greedy,TRUE,3,10.83849239,17.3227576,3
A Domain Generalization,simple greedy,FALSE,1,3.646224499,2.5353304,1
A Knowledge Driven,simple greedy,FALSE,7,22.83631229,55.3878472,7
A Multilayer Convolutional,simple greedy,TRUE,9,25.90298963,93.43633378,9
A Natural Language,simple greedy,TRUE,8,35.97729135,49.29782322,8
A Question-Answering Approach,simple greedy,TRUE,10,32.31360698,62.26070357,10
A Student-Teacher Architecture,simple greedy,FALSE,4,16.33659959,29.6675152,0
A Unified Implicit,simple greedy,TRUE,5,17.06083393,21.45974775,5
Abusive Language Detection,simple greedy,TRUE,5,17.83563137,26.55800052,5
Accelerating the Development,simple greedy,FALSE,9,27.76177263,71.5367652,9
Accurate and Interpretable,simple greedy,FALSE,6,18.09268284,46.4005076,6
Action Branching Architectures,simple greedy,TRUE,2,4.7218678,0,2
AUPCR Maximizing Matchings,simple greedy,TRUE,7,24.14642048,52.9182952,7
Balanced Linear Contextual,simple greedy,TRUE,7,22.20251989,59.4257728,7
Beyond,simple greedy,TRUE,7,20.8372426,47.80011895,7
Bidirectional Temporal Plan,simple greedy,TRUE,4,14.36446905,16.3435076,4
BOK,simple greedy,FALSE,6,23.01913238,28.29658308,6
Capturing Delayed Feedback,simple greedy,TRUE,5,16.99863839,24.99487655,5
Cisco at AAAI-CAD21,simple greedy,TRUE,3,8.477499962,16.0389302,3
Crowdsourcing real-time viral,simple greedy,TRUE,5,21.37055969,30.4945228,5
Deep Open Intent,simple greedy,TRUE,5,12.81809855,23.54300043,5
Deep Spiking Neural,simple greedy,TRUE,6,13.4001708,41.3317652,6
Delving into Sample,simple greedy,FALSE,5,39.35217023,37.6615228,5
Detection of social,simple greedy,TRUE,8,18.68518949,36.760314,8
Deterministic and Discriminative,simple greedy,TRUE,5,21.54814076,25.69387295,5
Discriminative Sentence Modeling,simple greedy,FALSE,8,29.24699402,48.41851915,8
Evaluating Digital Agriculture,simple greedy,FALSE,5,24.7107513,35.9850076,5
Evaluating Sequence-to-Sequence Learning,simple greedy,TRUE,5,16.6808362,36.3520076,5
Evaluation of a,simple greedy,FALSE,10,12.02530885,68.5571114,10
Evaluation of Fake,simple greedy,TRUE,7,31.23199797,26.8958728,7
Evolutionarily-Curated Curriculum Learning,simple greedy,TRUE,2,26.5645175,43.6724901,2
Expected Value of,simple greedy,TRUE,6,3.611644745,49.091702,6
Explainable Failure Predictions,simple greedy,TRUE,6,22.92383385,96.50251569,6
Explaining Reward Functions,simple greedy,FALSE,3,19.47649384,15.2637576,3
Exploiting Cross-Lingual Subword,simple greedy,TRUE,1,8.846002102,0,1
Exploiting Language Models,simple greedy,TRUE,5,4.101769209,34.1224864,5
Exploiting Multiple Abstractions,simple greedy,FALSE,7,18.1959126,37.23834107,7
Exploring Gameplay With,simple greedy,TRUE,8,43.98028183,81.2264416,8
Exploring the Efficacy,simple greedy,TRUE,4,21.41641927,64.24806585,4
Fair Conformal Predictors,simple greedy,TRUE,4,13.13251758,47.83548,4
